麻黄,发汗散寒，宣肺平喘，利水消肿。
两面针,活血化瘀，行气止痛，祛风通络，解毒消肿。
西红花,活血化瘀，凉血解毒，解郁安神。
丹参,活血祛瘀，通经止痛，清心除烦，凉血消痈。
北刘寄奴,活血祛瘀，通经止痛，凉血止血，清热利湿。
桃仁,活血祛瘀，止咳平喘，润肠通便。
桃枝,活血通络，解毒杀虫。
苏木,活血祛瘀，消肿止痛。
卷柏,活血通经，化瘀止血。
凌霄花,活血通经，凉血祛风。
红花,活血通经，散瘀止痛。
西红花,活血化瘀，凉血解毒，解郁安神。
王不留行,活血通经，下乳消肿，利尿通淋。
月季花,活血调经，疏肝解郁。
玫瑰花,行气解郁，和血，止痛。
益母草,活血调经，清热解毒，利尿消肿。
泽兰,活血调经，利水消肿，祛瘀消痈。
茺蔚子,活血调经，清肝明目。
小叶莲,调经活血。
牛膝,逐瘀通经，补肝肾，强筋骨，利尿通淋，引血下行。
川牛膝,逐瘀通经，通利关节，利尿通淋。
鸡血藤,活血补血，调经止痛，舒经活络。
穿山甲,活血消徵，通经下乳，消肿排脓，搜风通络。
干漆,破血通经，消积杀虫。
马钱子,散结消肿，通络止痛。
水红花子,散结消徵，消积止痛，利水消肿。
水蛭,破血通经，逐瘀消癥。
土鳖虫,破血逐瘀，续筋接骨。
自然铜,散瘀止痛，续筋接骨。
斑蝥,破血逐瘀，散结消癥，攻毒蚀疮。
急性子,破血，软坚，消积。
骨碎补,补肾强骨，疗伤止痛，外用消风祛斑。
莪术,行气破血，消积止痛。
三棱,行气破血，消积止痛。
姜黄,破血行气，通经止痛。
石决明,平肝潜阳，清肝明目。
珍珠母,平肝潜阳，明目退翳，安神定惊
珍珠,安神定惊，明目消翳，润肤祛斑，解毒生肌。
赭石,平肝潜阳，重镇降逆，凉血止血。
牡蛎,潜阳补阴，软坚散结，重镇安神。
羚羊角,平肝息风，散血解毒，清肝明目。
天麻,息风止痉，祛风通络，平抑肝阳。
钩藤,息风定惊，清热平肝。
僵蚕,息风止痉，祛风止痛，化痰散结。
地龙,清热定惊，平喘，通络，利尿。
全蝎,息风镇痉，攻毒散结，通络止痛。
蜈蚣,息风镇痉，攻毒散结，通络止痛。
麝香,开窍醒神，活血通经，消肿止痛。
冰片,开窍醒神，清热止痛。
安息香,开窍醒神，行气活血，止痛。
石菖蒲,开窍豁痰，醒神益智，化湿开胃。
牛黄,开窍，豁痰，清心，解毒，凉肝，息风。
人工牛黄,清热解毒，化痰定惊。
苏合香,开窍，辟秽，止痛。
蟾酥,开窍醒神，解毒，止痛。
人参,大补元气，复脉固脱，补脾益肺，安神益智，生津养血。
人参叶,补气，益肺，祛暑，生津。
红参,大补元气，复脉固脱，益气摄血。
西洋参,补气养阴，清热生津。
党参,健脾益肺，养血生津。
太子参,益气健脾，生津益肺。
刺五加,益气健脾，补肾安神。
蓝布正,益气健脾，补血养阴，润肺化痰。
明党参,润肺化痰，养阴和胃，平肝，解毒。
黄芪,补气升阳，固表止汗，利水消肿，托毒排脓，敛疮生肌，行滞通痹，生津养血。
红芪,补气升阳，固表止汗，利水消肿，托毒排脓，敛疮生肌，行滞通痹，生津养血。
炙红芪,补中益气。
炙黄芪,益气补中。
大枣,补中益气，养血安神。
广枣,行气活血，养心安神。
蜂蜜,补中，润燥，解毒，止痛，外用生肌敛疮。
白术,健脾益气，燥湿利水，止汗，安胎。
白扁豆,健脾化湿，和中消暑。
甘草,补脾益气，清热解毒，祛痰止咳，调和诸药，缓急止痛。
炙甘草,益气复脉，补脾和胃。
毛诃子,收敛养血，清热解毒，调和诸药。
山药,补肾涩精，补脾养胃，生津益肺。
灵芝,补气安神，止咳平喘。
云芝,清热解毒，健脾利湿。
天仙子,解痉止痛，平喘，安神。
天仙藤,行气活血，通络止痛。
红景天,益气活血，通脉平喘。
龙眼肉,补益心脾，养血安神。
枸骨叶,清热养阴，益肾，平肝。
榼藤子,补气补血，健胃消食，除风止痛，强筋硬骨。
当归,补血活血，调经止痛，润肠通便。
何首乌,解毒，截疟，消痈，润肠通便。
制何首乌,补肝肾，强筋骨，益精血，乌须发，化浊降脂。
首乌藤,祛风通络，养血安神。
白芍,养血调经，敛阴止汗，平抑肝阳，柔肝止痛。
熟地黄,补血滋阴，益精填髓。
阿胶,补血滋阴，润燥，止血。
桑椹,滋阴补血，生津润燥。
枸杞子,滋补肝肾，益精明目。
蛤蟆油,补肾益精，养阴润肺。
北沙参,养阴清肺，益胃生津。
南沙参,养阴清肺，益胃生津，益气，化痰。
珠子参,补肺养阴，祛瘀止痛，止血。
百合,养阴润肺，清心安神。
麦冬,润肺清心，养阴生津。
天冬,养阴润燥，清肺生津，
玉竹,养阴润燥，生津止渴。
墨旱莲,滋补肝肾，凉血止血。
女贞子,滋补肝肾，明目乌发。
枸杞子,滋补肝肾，益精明目。
黑豆,益精明目，养血祛风，利水，解毒。
黑种草子,补肾健脑，通经，通乳，利尿。
石斛,滋阴清热，益胃生津。
黄精,补气养阴，健脾，润肺，益肾。
鳖甲,滋阴潜阳，软坚散结，退热除蒸。
龟甲,滋阴潜阳，益肾强骨，养血补心，固经止崩。
龟甲胶,滋阴，养血，止血。
鹿茸,壮肾阳，益精血，强筋骨，调冲任，托疮毒。
鹿角,温肾阳，强筋骨，行血消肿。
鹿角胶,温补肝肾，益精养血，止血。
韭菜子,温补肝肾，壮阳固精。
鹿角霜,温肾助阳，收敛止血。
补骨脂,温肾助阳，温脾止泻，纳气平喘，外用消风祛斑。
海马,温肾壮阳，散结消肿。
海龙,温肾壮阳，散结消肿。
沙苑子,补肾助阳，固精缩尿，养肝明目。
菟丝子,补益肝肾，固精缩尿，明目，安胎，止泻。
肉豆蔻,补肾阳，益精血，润肠通便。
锁阳,补肾阳，益精血，润肠通便。
仙茅,补肾阳，强筋骨，祛寒湿。
淫羊藿,补肾阳，强筋骨，祛风湿。
巴戟天,补肾阳，强筋骨，祛风湿。
杜仲叶,补肝肾，强筋骨。
杜仲,补肝肾，强筋骨，安胎。
续断,补肝肾，强筋骨，续折伤，止崩漏。
黑芝麻,补肝肾，强筋骨，润肠燥。
天山雪莲,补肾活血，强筋骨，营养神经，调节异常体液。
楮实子,补肾清肝，明目，利尿。
紫石英,温肾暖宫，温肺平喘，镇心安神。
冬虫夏草,补肾益肺，止血化痰。
蛤蚧,补肺益肾，助阳益精，纳气平喘。
钟乳石,温肺，助阳，平喘，制酸，通乳。
骨碎补,补肾强骨，疗伤止痛，外用消风祛斑。
益智,暖肾固精缩尿，温脾止泻摄唾。
覆盆子,益肾固精缩尿，养肝明目。
紫河车,温肾补精，益气养血。
核桃仁,益肾补肺，润肠。
半夏,燥湿化痰，降逆止呕，消痞散结。
法半夏,燥湿化痰。
姜半夏,温中化痰，降逆止呕。
天南星,散结消肿。
制天南星,燥湿化痰，祛风止痉，散结消肿。
胆南星,清热化痰，息风定惊。
猪牙皂,祛痰开窍，散结消肿。
大皂角,祛痰开窍，散结消肿。
旋覆花,降气，消痰，行水，止呕。
金沸草,降气，消痰，行水。
白前,降气，消痰，止咳。
白附子,祛风痰，定惊搐，解毒散结，止痛。
桔梗,宣肺，祛痰，利咽，排脓。
芥子,温肺豁痰利气，散结通络止痛。
花蕊石,温肺豁痰利气，散结通络止痛。
华山参,温肺祛痰，平喘止咳，安神定惊。
平贝母,清热润肺，化痰止咳。
伊贝母,清热润肺，化痰止咳。
川贝母,清热润肺，化痰止咳，散结消痈。
浙贝母,清热化痰止咳，解毒散结消痈。
湖北贝母,清热化痰，止咳，散结。
土贝母,解毒，散结，消肿。
瓜蒌,清热涤痰，宽胸散结，润燥滑肠。
瓜蒌皮,清热化痰，利气宽胸。
瓜蒌子,润肺化痰，滑肠通便。
龙脷叶,润肺止咳，通便。
甜瓜子,清热，滑肠，化瘀，排脓，疗伤止痛。
前胡,散风清热，降气化痰。
紫花前胡,散风清热，降气化痰。
昆布,消痰软坚散结，利水消肿。
海藻,消痰软坚散结，利水消肿。
竹茹,清热化痰，除烦，止呕。
天竺黄,清热豁痰，凉心定惊。
瓦楞子,消痰化瘀，软坚散结，制酸止痛。
蛤壳,清热化痰，软坚散结，制酸止痛，外用收湿敛疮。
青礞石,坠痰下气，平肝镇惊。
金礞石,坠痰下气，平肝镇惊。
金龙胆草,清热化痰，止咳平喘，解毒利湿，凉血止血。
龙胆,清热燥湿，泻肝胆火。
红花龙胆,清热除湿，解毒，止咳。
石吊兰,化痰止咳，软坚散结。
苦杏仁,降气止咳平喘，润肠通便。
紫苏子,降气化痰，止咳平喘，润肠通便。
枇杷叶,清肺止咳，降逆止呕。
百部,润肺下气止咳，杀虫灭虱。
紫菀,润肺下气，消痰止咳。
葶苈子,泻肺平喘，行水消肿。
桑白皮,泻肺平喘，利水消肿。
白果,敛肺定喘，止带缩尿。
马兜铃,清肺降气，清肠消痔，止咳平喘。
暴马子皮,清肺祛痰，止咳平喘。
猪胆粉,清热润燥，止咳平喘，解毒。
瓜子金,祛痰止咳，活血消肿。
牡荆叶,祛痰，止咳，平喘。
野马追,化痰止咳平喘。
矮地茶,化痰止咳，清利湿热，活血化瘀。
通关藤,止咳平喘，清热解毒，祛痰，通乳。
洋金花,解痉定痛，平喘止咳。
白屈菜,解痉定痛，止咳平喘。
满山红,止咳祛痰。
山楂,消食健胃，行气散瘀，化浊降脂。
山楂叶,活血化瘀，理气通脉，化浊降脂。
莱菔子,消食除胀，降气化痰。
布渣叶,消食化滞，清热利湿。
稻芽,消食和中，健脾开胃。
神曲,消食化积
麦芽,行气消食，健脾开胃，回乳消胀。
沙棘,健脾消食，止咳祛痰，活血散瘀。
鸡内金,健胃消食，涩精止遗，通淋化石。
神曲,消食化积
使君子,杀虫消积
鹤虱,杀虫消积。
雷丸,杀虫消积。
槟榔,杀虫，消积，行气，利水。
焦槟榔,消食导滞。
榧子,杀虫消积，润燥通便，润肺止咳。
南瓜子,杀虫。
鹤草芽,杀虫。
朱砂,清心镇惊，安神，明目，解毒。
磁石,镇惊安神，平肝潜阳，聪耳明目，纳气平喘。
龙骨,镇惊安神，平肝潜阳，收涩固脱。
珍珠母,平肝潜阳，安神定惊，，明目退翳。
珍珠,安神定惊，明目消翳，润肤祛斑，解毒生肌。
合欢花,解郁安神
合欢皮,解郁安神，活血消肿。
罗布麻叶,平肝安神，清热利水。
柏子仁,养心安神，止汗，润肠通便。
酸枣仁,宁心安神，养心补肝，敛汗，生津。
远志,安神益智，交通心肾，祛痰，消肿。
莲子心,交通心肾，清心安神，涩精止血。
乌梅,敛肺，涩肠，安蛔，生津。
罂粟壳,敛肺，涩肠，止痛。
