闹羊花,风痹散,治左瘫右痪、恶风湿痹、跌打损伤、血风疼痛、手术麻醉
松叶,松桉消炎合剂,治风寒湿痹、风湿顽癣、历节风痛、流脑、气管炎、附睾炎、产后血痨、老虎咬伤
棉子,长春丸,治瘫痪诸风、半身不遂、心腹痛、久咳吐血、乳汁不通、男子不育、子宫出血，风、虫牙痛
茵芋,茵芋丸,治手足枯痹、风气积滞、产后中风
臭梧桐,祛风汤,治关节炎、内外痔疮、半边头痛、高血压、半身不遂
莽草,莽草散,治风湿痹痛、腰脊劳损、肩周炎、扭伤、疮毒
夏天无,紫堇降压汤,治中风偏瘫、各型高血压、乳腺炎
寻骨风,加味木瓜汤,治风湿关节痛、风湿热、痈肿、胃痛、小儿麻痹后遗症
乌梢蛇,硇砂丸,治风湿顽痹、疥癣、麻风、破伤风、紫白癜风、小儿惊风
守宫,天龙散,治瘫痪、历节风、淋巴结核、窦道、破伤风、反胃膈气、惊痫
破骨风,破骨风汤,治风湿关节炎、腰痛、风寒头痛、无名肿毒
茄子根,茄苈止咳合剂,治风湿痹痛、癌症发热、久痢不止、牙痛、百日咳
柏皮,治头顶痛,吐血、鼻渊、水肿、疥疮癣癞
地下明珠,,治筋骨冷痛、腰痛、偏头痛、刀斧砍伤、疟疾、眼中星翳
枸骨,,治风湿腰痛、关节痛、乳头肿痛、白癜风、百日咳、咳血、头痛、牙痛
蓖麻根,,治风湿骨痛、破伤风、瘰疠、癫痫
野花椒,,治风湿骨痛、中风、小儿惊风、腹胀疼痛、白喉
大黄,温脾汤,治肠胃积滞、便秘腹痛、湿热黄疸、肠痈腹痛、吐衄便血、下痢腹痛、妇女经闭、肾衰、急性肝炎、肺炎、尿毒症、胰腺炎、精神分裂症、水火烫伤、涤虫
芒硝,凉膈散,治肠风脏毒、大便燥结、肠痈腹痛、咽喉肿痛、痔疮、冻疮、脚出汗
番泻叶,实泻导滞汤,治积食停滞、热结便秘、水肿腹胀、急性胰腺炎、出血热
芦荟,更衣丸,治习惯性便秘、大便不通、臌胀病、小儿疳积、头晕头痛、小儿急惊风
